Question	Expected Framework	Expected Document	Expected Answer
Can I really buy services from GCloud 14 without running a full tender process?	RM1557.14	RM1557.12	Yes, you absolutely can buy services from G-Cloud 14 without running a full, traditional tender process, but only for certain types of services. The G-Cloud framework is specifically designed to allow for Direct Award, which is its primary selling point. It effectively replaces the traditional "Invitation to Tender" (ITT) or "Request for Proposal" (RFP) with a streamlined digital search and evaluation process
What is the procurement process for using G-Cloud, step-by-step?	RM1557.14	RM1557.12	Step 1: Prepare Your Requirements. Step 2: Search and Longlist. Step 3: Filter and Shortlist. Step 4: Evaluation (The "MEAT" Process). Step 5: Direct Award. Step 6: Post-Award Formalities
How do I manage the contract and supplier performance after awarding a G-Cloud contract?	RM1557.14	Digital Outcomes and Specialists 5 legal documents	1. Finalize the Call-Off Contract & Exit Plan. 2. Set & Monitor Performance Metrics (KPIs). 3. Financial and Commercial Governance. 4. Relationship & Risk Management. 5. Handling Extensions
What are the reporting requirements for G-Cloud contracts?	RM1557.14		1. Monthly Management Information (MI). 2. Annual & Periodic Requirements. 3. Buyer-Specific Reporting. 
Can I exit a G-Cloud contract early, and if so, what are the implications?	RM1557.14		In the world of UK public sector procurement, G-Cloud contracts (known as Call-Off Contracts) are designed to be flexible, but they aren't "handshake-and-walk-away" agreements.1. Termination for Convenience (Ending "Without Cause")  The short answer is yes, you can exit early, but the "how" and the "cost" depend heavily on which version of the framework you are using (e.g., G-Cloud 13, 14, or the newly launching G-Cloud 15).
What resources or guidance does CCS provide for G-Cloud users, both before and after procurement?	RM1557.14		The Crown Commercial Service (CCS) provides a comprehensive suite of tools and documents designed to ensure G-Cloud procurements are compliant, efficient, and legally sound. Because G-Cloud relies on a Direct Award model (except for Lot 4), the guidance focuses heavily on maintaining a fair and auditable selection process.
What is the typical contract length for G-Cloud services, and can they be extended?	RM1557.14		For G-Cloud 14 (Lots 1, 2, and 3), the typical initial contract length is up to 36 months (3 years).  Under previous versions like G-Cloud 12, the initial limit was often 24 months, but this has been increased to allow more flexibility for long-term cloud implementations. There is no minimum term, so you can set a contract for 6 or 12 months if needed.
Can I negotiate terms and conditions with G-Cloud suppliers, or are they fixed?	RM1557.14		In short: No, you generally cannot negotiate the core terms, conditions, or pricing. The G-Cloud framework is designed for "off-the-shelf" services where the price and terms are fixed at the point the supplier joins the framework. This ensures a level playing field and a fast "direct award" process.
Can I make a G-Cloud "Direct Award," or do I have to run a competition?	RM1557.14		Lots 1, 2, and 3 (Cloud Hosting, Software, and Support): Yes. These lots are designed specifically for Direct Award only. You follow a "6-step buying process" (search, longlist, shortlist, evaluate, and award) based on the supplier's published catalog price and terms. You cannot run a mini-competition or negotiate prices in these lots.
How long can a G-Cloud "Call-Off" contract last?	RM1557.14	RM1557.14-G-Cloud-14-buyer-guide-v6.0-2	A call-off from G-Cloud 14 can last up to 36 months, and there is an optional extension period of up to 12 months beyond this.
Is the pricing on the G-Cloud Digital Marketplace fixed?	RM1557.14		The short answer is yes, pricing on the G-Cloud Digital Marketplace is fixed in the sense that it must be transparent and non-negotiable at the point of purchase. However, there are specific rules about how those "fixed" prices can change over time. 
How do I evaluate "Social Value" in G-Cloud?	RM1557.14		 Evaluating Social Value is now a mandatory requirement for Central Government contracts under G-Cloud (G-Cloud 13 and 14), typically accounting for a minimum weighting of 10% of the total score.
What is the G-Cloud "6-step process" for a compliant buy?	RM1557.14		1. Prepare. 2. Search and Longlist. 3. Longlist to Shortlist. 4. Evaluation and Selection. 5. Award and Buy. 6. Complete the Customer Benefit Record
How do I handle G-Cloud "Service Definitions" and "Supplier Terms"?	RM1557.14		Handling G-Cloud documentation is less about "winning a bid" and more about "publishing a shop front." In the G-Cloud framework (currently G-Cloud 14), your Service Definition and Supplier Terms are mandatory documents that are "locked" once the framework goes live.
What if I can't find a G-Cloud supplier that meets 100% of my requirements?	RM1557.14		 It is quite common in G-Cloud procurement to find that no single supplier is a "perfect" 100% match. The framework is designed for commodity services, which are often "off-the-shelf" rather than bespoke.  
What is the maximum length of a Call-Off Contract on G Cloud 14?	RM1557.14	RM1557.14-G-Cloud-14 webpage	Call-off contracts on G-Cloud 14 can be a maximum of 48 months. This is split into the initial term (36 months maximum) and an optional extension (12 months maximum).
On GCloud14, can I ask suppliers for references or case studies during my evaluation?	RM1557.14	RM1557.14-G-Cloud-14-buyer-guide-v6.0-2	You are not permitted to ask for extra evidence. Instead, you should base your evaluation on the information that the supplier has uploaded to CAS.
Is the pricing I see on the marketplace fixed for G-Cloud, or can I negotiate a discount?	RM1557.14	RM1557.14-G-Cloud-14-buyer-guide-v6.0-2	No, you cannot negotiate a discount with individual suppliers. If a supplier reduces their prices, they must do this for all customers, not just you.
What happens if the service I want isn't on the G-Cloud-14 framework—can the supplier add it?	RM1557.14	RM1557.14-G-Cloud-14-Framework-Agreement-v3.0	The supplier can update its standard service offer, but cannot make material changes to it.
Do I need to hold a formal 'standstill period' before signing a contract under GCloud-14?	RM1557.14	RM1557.14-G-Cloud-14-buyer-guide-v6.0-2	You don't have to formal standstill period, but you are allowed to if you want to give unsuccessful suppliers an opportunity to review and respond to your feedback.
Can I use G-Cloud to buy bespoke software development or hardware?	RM1557.14	RM1557.14-G-Cloud-14-buyer-guide-v6.0-2	No, G-Cloud specifically excludes bespoke design and development
What is my responsibility regarding Social Value under G-Cloud?	RM1557.14	RM1557.14-G-Cloud-14-buyer-guide-v6.0-2	You should consider social value as part of your evaluation of suppliers. If you are from central government, social value should account for at least 10% of award criteria.
What is G-Cloud Lot 4, and how is it different from the other lots?	RM1557.14	RM1557.14-G-Cloud-14 webpage, RM1557.14-G-Cloud-14 Lot 4 webpage	Lot 4 covers professional services related to cloud computing, such as migration planning and security. Lots 1-3 cover specific aspects of cloud computing, such as hosting, software and support
Can I use G-Cloud to hire an individual developer or contractor?	RM1557.14	RM1557.14-G-Cloud-14 webpage	No, you cannot use GCloud for recruitment, only for cloud support related to cloud services
If I'm doing a call-off from GCloud 14, do I need to check the supplier's financial health myself?	RM1557.14	RM1557.14-G-Cloud-14-buyer-guide-v6.0-2	CCS carries out financial checks on all suppliers, but you are recommended to carry out your own checks once you have a shortlist of suppliers
What happens to my contract if a new version of G-Cloud is released?	RM1557.14	RM1557.14-G-Cloud-14-buyer-guide-v6.0-2	Your contract will not move over to the new version automatically. Once your contract is expired, you should conduct a re-evaluation of services available on the Contracts Award Service (CAS)
Is an 'Exit Plan' mandatory for all G-Cloud contracts?	RM1557.14	RM1557.14-G-Cloud-14-buyer-guide-v6.0-2	Yes, you must have an expert plan in place before you place an order. This is to prevent supplier lock-in.
Can I buy a 'Hybrid' solution that includes some hardware if I use G Cloud 14?	RM1557.14	RM1557.14-G-Cloud-14 webpage	No, hardware is excluded from G-Cloud, but you can use the following agreements for this: RM6068 Technology Products and Associated Services, RM6194 Back Office Software
How does the Digital Outcomes & Specialists agreement support the transition to agile delivery phases (Discovery, Alpha, Beta, Live)?	RM1043		 The Digital Outcomes & Specialists (DOS) framework—now primarily sitting under the Digital Outcomes agreement in the UK’s Digital Marketplace—is specifically designed to mirror the Government Digital Service (GDS) Service Manual.  Unlike traditional "waterfall" procurement, which demands a fixed end-product from day one, DOS allows public sector bodies to buy outcomes based on the current phase of the project.
Under Digital Outcomes & Specialists, what is the process for ensuring that "Specialists" provided by the supplier meet our specific technical stack requirements?	RM1043		
Can we use the Digital Outcomes & Specialists framework to procure a managed team for a fixed-term digital transformation project?	RM1043		
Does the Technology Products & Associated Services 2 agreement allow for the procurement of "Device as a Service" (DaaS) models?	RM6098		
How can we leverage the aggregation service within Technology Products & Associated Services 2 to achieve higher volume discounts on hardware?	RM6098		
Are the sustainability and "circular economy" requirements for IT hardware disposal included in the Technology Products & Associated Services 2 terms?	RM6098		
Does the Management Consultancy Framework Three provide specific lots for complex infrastructure or environmental sustainability consultancy?	RM6187		
Under Management Consultancy Framework Three, how is knowledge transfer to our internal staff monitored and measured during the contract?	RM6187		
Can we conduct a direct award for urgent requirements under the Management Consultancy Framework Three if we can prove a specific supplier is the only capable party?	RM6187		
How does the Construction Works and Associated Services framework manage the use of Project Bank Accounts to ensure prompt payment to the supply chain?	RM6088		
Does the Construction Works and Associated Services agreement support the use of Modern Methods of Construction (MMC), such as modular building?	RM6088		
Which standard form of contract (e.g., NEC4 or JCT) is the default for works ordered via Construction Works and Associated Services?	RM6088		
Can we integrate "Total Facilities Management" (TFM) requirements into a single call-off under the Facilities Management & Workplace Services agreement?	RM6232		
How does the Facilities Management & Workplace Services agreement handle price adjustments for inflation in labor-intensive services like cleaning?	RM6232		
Does the Facilities Management & Workplace Services portal provide a standardized way to compare Social Value offerings between suppliers?	RM6232		
What are the current lead times for Ultra-Low Emission Vehicles (ULEVs) available through the Vehicle Lease, Fleet Management and Salary Sacrifice Car Schemes?	RM6268		
Under the Vehicle Lease, Fleet Management and Salary Sacrifice Car Schemes, does the salary sacrifice portal handle all tax and NI reporting requirements for us?	RM6268		
Can we include fleet management services for our existing owned vehicles using the Vehicle Lease, Fleet Management and Salary Sacrifice Car Schemes framework?	RM6268		
Does Network Services 3 cover the procurement of 5G private networks and Internet of Things (IoT) connectivity solutions?	RM6116		
Under Network Services 3, can we run a "cross-lot" competition if our requirement spans both LAN and telephony services?	RM6116		
What are the options for "Cloud-First" networking strategies within the Network Services 3 framework?	RM6116		
How does the Non-Clinical Staffing framework ensure that all temporary workers have undergone the necessary BPSS or DBS vetting before starting?	RM6277		
Are the "agency margins" fixed for the duration of the Non-Clinical Staffing agreement, or can they be negotiated during further competition?	RM6277		
Can we use Non-Clinical Staffing to hire senior interim executives for roles that sit outside the standard NHS banding?	RM6277		
Does the Workforce Solutions framework allow us to implement a "Master Vendor" or "Neutral Vendor" managed service model?	RM6160		
How does Workforce Solutions help us manage IR35 status determinations for the contingent workers we hire?	RM6160		
Can we use a "Statement of Work" (SoW) model under Workforce Solutions to pay for outcomes rather than just time and materials?	RM6160		
Does the Public Sector Legal Services agreement provide access to specialized advice for international trade or subsidy control?	RM6240		
Can we request "Alternative Fee Arrangements," such as capped fees, for specific litigation cases under Public Sector Legal Services?	RM6240		
How does Public Sector Legal Services ensure that we have a dedicated Relationship Manager to oversee all our instructed legal matters?	RM6240		
How can I find training courses for adult learners in the public sector?	RM6348		
Where do I access the Adult Skills and Learning Dynamic Purchasing System?	RM6348		
I need a single route to market for adult education services.	RM6348		
Which DPS should I use for adult vocational training?	RM6348		
Can all public sector organisations access adult learning DPS?	RM6348		
I need to find apprenticeship training providers via a dynamic marketplace.	RM6102		
How do I use the Apprenticeship Training Dynamic Marketplace?	RM6102		
Where can I find information on compliance for apprenticeship training?	RM6102		
Is there a video for buyers regarding apprenticeship marketplace training?	RM6102		
Which framework provides an extensive range of apprenticeship standards?	RM6102		
Where can I find the legacy framework for Apprenticeships Training and Related Services?	RM3823		
Is RM3823 still active or has it expired?	RM3823		
I need access to the levy fund for apprenticeship leadership training.	RM3823		
Which RM number covers the 2017 Apprenticeship Training services?	RM3823		
How do I view the archived Apprenticeships and Learning DPS documents?	RM3823		
I need discovery and consultancy services for Artificial Intelligence.	RM6200		
Which dynamic purchasing system covers AI and machine learning?	RM6200		
Is there a guide for customers looking for AI software solutions?	RM6200		
How do I buy digital and AI consultancy through CCS?	RM6200		
Which RM code is assigned to the Artificial Intelligence (AI) framework?	RM6200		
Where can I find technical consultancy for audio visual systems?	RM6225		
I need to buy AV equipment and complex audio solutions.	RM6225		
Is there a DPS for Audio Visual Technical Consultancy and Commissioning?	RM6225		
Which framework provides easy access to network server and AV technology?	RM6225		
I am looking for UK government AV technical services.	RM6225		
Where can I find the expired Audit & Assurance Services agreement?	RM6188		
Which RM code was used for the original Audit and Assurance Services (A&AS)?	RM6188		
I need access to audit and assurance services including central government.	RM6188		
What was the start date for the first Audit & Assurance Services framework?	RM6188		
Is there a new agreement replacing RM6188?	RM6188		
I need the current Audit and Assurance Services Two (A&AS2) framework.	RM6310		
Which RM code is for the live professional audit services agreement?	RM6310		
Can wider public sector bodies access the new Audit and Assurance framework?	RM6310		
How do I buy professional auditing services under RM6310?	RM6310		
What is the end date for Audit and Assurance Services Two?	RM6310		
Where can I find intelligent automation services and RPA?	RM6173		
I need a DPS for robotic process automation and AI automation.	RM6173		
How do I access the Automation Marketplace DPS?	RM6173		
Which RM number covers accessible robotic automation for the public sector?	RM6173		
What technologies are available under the Automation Marketplace?	RM6173		
Is the original Back Office Software framework still live?	RM6194		
I need SaaS solutions for back office functions from the expired framework.	RM6194		
What was the RM number for the first Back Office Software agreement?	RM6194		
Where can I find a wide range of cloud software for back office use?	RM6194		
Is RM6194 the current version of the back office software framework?	RM6194		
I need to buy ERP or HR software via the Back Office Software 2 framework.	RM6285		
Which RM number covers the current SaaS solutions for back office?	RM6285		
How do I use the 2-lot structure for Back Office Software 2?	RM6285		
Is Back Office Software 2 let under the Public Contracts Regulations?	RM6285		
What is the live status of RM6285?	RM6285		
Where can I find big data and analytics frameworks for public sector?	RM6195		
Which RM number provides data and analytics software solutions?	RM6195		
Can I buy a range of analytics tools through RM6195?	RM6195		
What are the terms for the Big Data and Analytics technology framework?	RM6195		
Is there a framework for large scale data analysis in government?	RM6195		
Where is the expired framework for Building Cleaning Services?	RM6130		
I need to find cleaning services for medical and public buildings.	RM6130		
What happened to the Building Cleaning Services RM6130 agreement?	RM6130		
Which RM number was used for facility management cleaning services?	RM6130		
Is there a summary of the cleaning services provided under RM6130?	RM6130		
I need to buy building materials and equipment for a construction project.	RM6157		
Which framework supports Carbon Net Zero and carbon reduction in construction?	RM6157		
Can UK government departments buy equipment for estates via RM6157?	RM6157		
What is the expiry date for the Building Materials and Equipment framework?	RM6157		
How do I access devolved administration building materials?	RM6157		
Where can I buy food and drink for public sector estates?	RM6279		
Which RM number covers the Buying Better Food and Drink framework?	RM6279		
Is there an easy-to-use framework for facilities management food supply?	RM6279		
How do I email the team for Buying Better Food and Drink?	RM6279		
Can all public sector organisations access the food and drink marketplace?	RM6279		
Which RM code was used for the 2016 Campaign Solutions framework?	RM3774		
I need to see the expired strategy development and marketing framework.	RM3774		
Who were the 26 agencies available under Campaign Solutions?	RM3774		
Was RM3774 a single contract or a multi-lot framework?	RM3774		
Is there a link to the archived Campaign Solutions 2016 documents?	RM3774		
I need a marketing and communications framework for the UK government.	RM6125		
Which RM number is for Campaign Solutions 2?	RM6125		
Can I use a single agency for my marketing campaign via RM6125?	RM6125		
How do I access the professional marketing framework for public sector?	RM6125		
Is Campaign Solutions 2 a live framework?	RM6125		
Where can I find temporary and permanent clinical staff recruitment?	RM6397		
Which RM number is planned for Clinical and Non Clinical Temporary and Permanent?	RM6397		
Is the recruitment framework for clinical staff currently in the pipeline?	RM6397		
How will the new HR and Work recruitment framework RM6397 function?	RM6397		
Where can I find clinical staffing solutions for healthcare?	RM6397		
What was the RM number for the original Cloud Compute framework?	RM6111		
I need access to IaaS and PaaS through the expired cloud framework.	RM6111		
Where can I find terms and conditions for Cloud Compute RM6111?	RM6111		
Can public sector organisations still use the RM6111 agreement?	RM6111		
Which technology framework covered public cloud and hyperscale compute?	RM6111		
I need to buy public cloud services via Cloud Compute 2.	RM6292		
Which RM number is for the live Cloud Compute 2 framework?	RM6292		
How do I access Cloud First and Hyperscale services?	RM6292		
What are the robust terms for Cloud Compute 2?	RM6292		
Is RM6292 the current standard for cloud hosting in government?	RM6292		
