,id,salesforce_id,title,start_date,end_date,tenders_open_date,tenders_close_date,expected_live_date,expected_award_date,rm_number,rm_number_numerical,summary,upcoming_deal_summary,description,terms,pillar,category,status,published_status,benefits,how_to_buy,keywords,regulation,regulation_type,lots
0,959,a044L000009fSMvQAM,Adult Skills and Learning DPS,2024-08-16,2028-10-27,,,2024-08-16,,RM6348,6348,All public sector organisations can access training for adults and young adults in the general public. Training is available both regionally and nationally through a range of funding types.,,"Provides access to a range of adult training services using a buyer’s public funding for training. The training provided will help adults and young adults develop the skills they need to gain employment, prepare for an apprenticeship, and/or progress into further qualifications. Includes access to training for: post 19 skills post 16 skills adult skills fund free courses for jobs UK Shared Prosperity Fund Skills Bootcamps any future iterations of existing funding any future funding types Apprenticeship levy training is excluded. For this, see our Apprenticeship Training Dynamic Marketplace . For corporate training of public sector employees, see our Learning and Training Services dynamic purchasing system (DPS) . If your training budget is grant funded, you can still use this commercial agreement to access the training. You can include your own funding rules in the terms of your call off contract. This agreement uses a DPS and offers a range of pre-qualified regional and national providers. You can filter providers by: delivery locations (where the training will happen) sector subject areas qualification levels provided This DPS is available to use until 27 October 2028. An extension to this commercial agreement is currently not possible. This commercial agreement complies with the Public Contracts Regulations (PCR) 2015. Read our case study for an example of how CCS can help public sector buyers achieve their objectives. Watch this video for an overview of the Adult Skills and Learning DPS and how to run a procurement.",DPS,Corporate,HR and Workforce Services,Live,publish,"single route to market for a variety of publicly funded training for adults suitable for regional and national contracts include your own funding rules in the call off contract future-proofed solution that is suitable for current and future funding types the DPS questionnaire removes the need for standard pre-qualification questions, saving buyers and suppliers time only invite suppliers relevant to your needs, made possible by the filtering system helps you to achieve your social value and carbon net zero objectives and compliance a time and resource saving alternative to developing and managing your own adult skills DPS / framework shorter timescales compared to an open procurement training providers must pass a Financial Viability Risk Assessment (FVRA), provide proof of insurance and provide their Cyber Essentials certificate in order to join, ensuring they meet our standards you can invite local training providers to join the DPS before running your adult skills procurement, as suppliers can join at any time","Video for buyers Watch this video for an overview of the Adult Skills and Learning DPS and how to run a procurement. Buyer guide For detailed step by step guidance, read the ‘Buyer guide’ from the ‘Documents’ section below. Access the DPS Access this DPS on the Dynamic Purchasing System Marketplace . Scroll down to the ‘Adult Skills and Learning’ section and click ‘Access as a buyer’. If you are not yet registered, click the link to register and follow the instructions (it may take a few days for your login details to come through). Engage with suppliers To help you decide the service you need, you can choose to engage with suppliers before you run your further competition. You can email the suppliers or use an online procurement tool like CCS’s eSourcing tool. Read the ‘How to create your supplier shortlist’ section below to find out how to get the relevant suppliers’ contact details. Run a further competition Write your tender documents: Invitation to tender document (including the questions you want to ask suppliers and how you are going to score their responses). Requirements specification. Pricing matrix (if needed). Draft your contract documents: Contract order form. Contract terms. Shortlist suppliers using the DPS system (read the ‘How to create your supplier shortlist’ section below). To shortlist suppliers even further, you can ask suppliers to complete a capability assessment (this is optional). Invite suppliers to bid (you can use the free CCS eSourcing portal or another procurement tool). Evaluate supplier bids. Send outcome letters to the suppliers that bid. Finalise the contract order form and contract terms (together, these form your call-off contract). Award the contract to the winning supplier(s) and sign the order form(s). Inform CCS of your contract award(s). How to create your supplier shortlist For a demo, watch this video from 6:20 . Go to the Dynamic Purchasing System Marketplace. Scroll down to the ‘Adult Skills and Learning’ section, click ‘Access as a buyer’ and sign in. On your dashboard, click ‘Create new category portfolio’ (it’s underneath the grey ‘Help’ box on the right). Tick the filters along the left that you need. The system uses an and/or filter, so suppliers will appear in your shortlist if they can deliver one or more of your chosen options. Then, click ‘Select sector subject areas’ in the top right. Tick the relevant sector subject areas and qualification groupings for your needs. The system also uses an and/or filter here. Scroll down and click ‘Save’, name your shortlist, and click ‘Save’ again. On your dashboard, scroll to your shortlist and once loaded, click ‘Export’. This downloads a spreadsheet with supplier contact information.",,PCR2015,Dynamic Purchasing System,"[{'description': '', 'title': 'Adult Skills and Learning DPS'}]"
1,67,a040N00000cnKSxQAM,Apprenticeship Training Dynamic Marketplace DPS,2019-04-30,2028-10-27,2019-03-28,2023-03-29,2019-04-30,2019-04-30,RM6102,6102,Provides access to an extensive range of apprenticeship training programmes that fully supports education and Department for Education (DfE ) funding rules. These rules give departments and public sector bodies the freedom to choose who they contract with.,,"Available for all public sector organisations to use including: central government departments agencies public bodies wider public sector organisations charities Buy generic or bespoke apprenticeship training courses including the learners’ end-point assessments. You can buy end-point assessments separately or as part of a training course. Training can be in a classroom, in a workplace, online or a combination of these. Suppliers mainly provide apprentice training and assessments in England. There is the option to include additional service requirements for Scotland, Wales and Northern Ireland. The agreement provides over 500 apprenticeship standards. All our suppliers are registered with the Department for Education (DfE ) . With call-off contracts from this agreement, you can pay for services using apprenticeship levy funds. You don’t have to be an organisation that pays the apprenticeship levy to use these funds or use this agreement. Current DfE funding rules apply. This agreement uses a dynamic purchasing system (DPS) to help you find relevant suppliers through a filtering system. There’s the option of doing a rapid award procurement, which you can complete in as little as a day. Read the ‘How to buy’ tab below for details. Watch this quick video for an introduction to the Apprenticeship Training DPS.",DPS,Corporate,HR and Workforce Services,Live,publish,compliance with public procurement policy and DfE apprenticeship funding rule run your procurement in as little as a day with the rapid award option suppliers can apply to join the agreement at any time include social value in your supplier evaluation using either the rapid award or standard award option you can run your procurement directly through the DPS marketplace system,"Before buying from this agreement, watch this video to find out how to run your procurement using the Apprenticeship Training DPS . It includes a step by step guide, a demo of the DPS system, and explains the difference between a standard award and a rapid award. Rapid award Rapid award allows you to complete a desktop exercise and create a shortlist of suppliers based on: your requirements supplier pricing suppliers pre-answered questions You can then use your shortlist to evaluate and award to the best supplier. If you have bespoke needs, use the standard award option instead. To run a rapid award you need to: decide which apprenticeship standard(s) you need shortlist suppliers using the DPS system (read ‘How to create your supplier shortlist’ below) download the supplier prospectus and pricing information evaluate suppliers based on your evaluation criteria complete the order form and contract terms (together, these form your call-off contract) award the contract to the winning supplier (you can sign the contract on the system using DocuSign or the usual way over email or a procurement tool) inform CCS of your contract award using the confirmation of award template Standard award Standard award is the usual further competition process. To run a standard award you will need to: decide which apprenticeship standard(s) you need write your tender documents: invitation to tender document (including your evaluation criteria, quality questions and associated score weightings) requirements specification pricing matrix contract order form contract terms shortlist suppliers using the DPS system (read ‘How to create your supplier shortlist’ section below) invite suppliers to bid (you can use the free CCS eSourcing portal or another procurement tool) evaluate supplier bids send outcome letters to the suppliers that bid finalise the contract order form and contract terms (together, these form your call-off contract) award the contract to the winning supplier (you can sign the contracts on the DPS system using DocuSign or the usual way over email or a procurement tool) inform CCS of your contract award using the confirmation of award template If you need templates for the tender documents or outcome letters, contact us. How to create your supplier shortlist To create your supplier shortlist, follow these steps: register as a buyer on the DPS system (it can take a few days to process) go to the Apprenticeship Training Dynamic Marketplace (DMP) , click ‘Access as a buyer’ and sign in on the ‘Manage your DMP category portfolios’ page, click ‘Create new category portfolio’ (it’s underneath the grey ‘Help’ box on the right) tick ‘Rapid award’ or ‘Standard award’, then click ‘Continue’ tick the filters along the left that you need then, click ‘Select training filters’ in the top right tick the training filters that best fit your needs, then click ‘Save and continue’ scroll down and click ‘Save portfolio’, name it, and click ‘Save portfolio’ again (note that webpage loading times vary) on the ‘Manage your DMP category portfolios’ page, scroll to your shortlist and once loaded, click ‘Export’ with rapid award, this downloads a spreadsheet with supplier prospectus information and a folder containing supplier pricing tables with standard award, this downloads a spreadsheet with supplier contact information","Apprenticeships; Apprenticeship Training, Apprenticeship Standards; SASE Frameworks; Dynamic Marketplace; training; end point assessments; rapid selection; standard selection; apprenticeship training ;dynamic marketplace;apprenticeship training courses ;end-point assessments;apprenticeship standards;apprenticeship training DPS;rapid award;standard award;DMP",PCR2015,Dynamic Purchasing System,"[{'description': '', 'title': 'Apprenticeship Training Dynamic Marketplace'}]"
2,87,a04b000000VYjzcAAD,Apprenticeships Training and Related Services,2017-09-12,2020-09-11,,,,,RM3823,3823,"Apprenticeship training for leadership, project management, operational delivery, HR, finance and tax, digital, customer service, commercial, property and more.",,"This agreement provides a modular training curriculum for central government departments, arm’s length bodies and the wider public sector including: leadership and management project and delivery management HR finance and tax business administration digital and property This training leads to the award of an Apprenticeship standard and/or qualification. Each lot is divided into 2 sub-lots. Sub-lots with the suffix ‘a’ are available to central government buyers through a Civil Service Learning (CSL) call-off contract. This is a direct award route as there is only one supplier in each of the ‘a’ lots. Sub-lots with the suffix ‘b’ are available to all buyers, including CSL, allowing them to place their own call-off contract by direct award or further competition.",Standard,Corporate,HR and Workforce Services,Expired - Data Still Received,publish,"access levy funds to support workforce planning strategies and meet their apprenticeship targets avoids multiple procurements 6 SMEs of 15 prime suppliers, and a further 6 SMEs in the supply chains",To use this framework take a look at lot a and b guidance. If you have any questions contact info@crowncommercial.gov.uk .,"Apprenticeships, Learning and Development, Education and training services, Related Services, Civil Service Learning, learning, apprentice, apprentice programme,",PCR2015,PCR15 Framework,[]
3,689,a044J000008lmLDQAY,Artificial Intelligence (AI),2020-09-03,2029-02-23,2020-08-05,,2020-09-03,2020-09-03,RM6200,6200,"Discovery and consultancy services for artificial intelligence (AI), implementation, support of AI systems, end-to-end partnerships, and an access to a range of AI technologies.",,"A dynamic purchasing system (DPS) is used to give the public sector access to AI services. If your organisation is new to AI, you can buy discovery services to help you: understand what AI is learn about its benefit If you already use AI, you can buy licensing, customisation and support from suppliers. If you need both of these things, you can choose end-to-end partnerships. The type of technology available include AI software applications, machine learning for data analytics, virtual and personal assistants. Health and social care bodies can access medical AI applications such as: medical imaging software non-imaging diagnostic software symptom-based software These help support the development of AI technologies in health and social care in line with the AI in Health and Care Award. Contracts under this agreement can last up to four years, depending on how complex the project is. Product types: Filter Category Level 1 – Scope of Engagement The first stage of an AI procurement. It includes AI discovery, licensing, customisation and support, end-to-end partnerships. Filter Category Level 2 – Type of AI Relates to the type of technology available. Examples include AI applications, augmented decision making, data and analytics, virtual assistants and chatbots and medical AI technology. Filter Category Level 3 – Medical AI Technology This represents the growing range of AI technologies in health and social care. It includes screening, diagnosis, augmented decision making, improving system efficiency and more. Filter Category Level 4 – Sector Relates to the sectors a supplier can deliver services to under a contract. Sectors include blue light, central government, devolved administrations, health, local government and not-for-profit.",DPS,Technology,Software,Live,publish,"customer guidance and ordering processes follow government standards and guidelines, including the Data Ethics Framework and the Office for AI’s Guidelines for AI Procurement promotes standards and criteria for AI and data-driven technology in healthcare supports ethical considerations when innovating and buying AI, and helps customers build a strong ethics process includes bespoke terms to support intellectual property rights (IPR) in the AI market ensures the right suppliers can provide the right service offerings, reducing buying times and provide an easier route to market for the type of AI quality, price and cultural fit (including social value ) can be assessed based on individual customer requirements",You must run a mini competition to select a supplier. There is no option for direct award.,"artificial intelligence, ai, digital, software, automation, machine learning, data analytics, chatbot, virtual assistant, discovery, consultancy, licencing",PCR2015,Dynamic Purchasing System,"[{'description': '', 'title': 'Artificial Intelligence (AI)'}]"
4,726,a044J00000K8cqgQAB,Audio Visual Technical Consultancy & Commissioning,2021-03-01,2026-02-28,2021-01-29,,2021-03-01,,RM6225,6225,A Dynamic Purchasing System (DPS) for public sector customers who need complex audio visual (AV) services. Plus support services for rooms that use a range of AV technology.,,"UK government and public sector bodies can use these services to transform their rooms into spaces which make the best use of AV services, while making sure anyone can use their computer systems and software in their workspaces. This will make it easier to collaborate with others and will ensure a hassle free experience. Customers can use this agreement to: design meeting spaces which will allow all colleagues to equally take part in the meeting (even if their attendance is virtual) create collaboration zones and find out the best ways to integrate their AV technology design acoustic and visual plans for conference rooms that will allow everyone to hear and see what they need to This agreement can help you to achieve this by focusing on ‘interoperability’ services. ‘Interoperability’ means any computer system and software will work with your AV design. Anyone will be able to use the technology with no issue. You can choose to use this agreement to create an end to end service for all your AV technology needs. From identifying your needs and creating a design of how your AV area will look and work, to installing your design. You will also be able to add a support package which can include: monitoring your AV area for problems providing help with any future issues Or you can pick any combination of services to better suit your complex needs. Services available under this agreement include: design consultancy AV integration installation and warranty AV solution support This agreement will run for three years with a possible extension of one year. To give you maximum choice and flexibility, we have created filters which will enable you to decide how much of this agreement you want to use. You will need to use a postcode filter to focus your search on suppliers who can carry out services in your area. Then you can use our other filters to choose the best services for your needs. These filters are: Filter 1: AV Design Consultancy A design consultant will design your new AV package. This can include identifying your business needs, giving technical advice, and creating a design integration plan. Filter 2: AV Integration, Installation and Warranty Get a specialist to install your AV package. This can include only the buying and installation, or can be the full package solution (including warranty). Filter 3: AV Solution Support For monitoring and support of your AV package. Includes on-site and remote management.",DPS,Technology,Network Services,Live,publish,"easy access to expert AV services flexibility to build your specifications (further competitions and contracts to suit your individual needs) new suppliers can join at anytime so this agreement can always access the latest technology and methods we have structured the filters so that you can use as much or as little of this agreement as you want you can assess quality, price and cultural fit (including social value) based on your individual needs this agreement lets Small and Medium Enterprises (SMEs) compete equally with larger suppliers","You must run a further competition to buy from this agreement. You cannot direct award. Before you run your competition, find out which suppliers could meet your needs using the Dynamic Purchasing System marketplace. If this is your first time using the marketplace you will need to register as a buyer. To run a further competition you will need to: register as a buyer on the dynamic purchasing system marketplace scroll down to the ‘Audio Visual Technical Consultancy and Commissioning DPS’ under ‘Technology’ select the ‘access as a buyer’ option confirm your acceptance of the customer access agreement click on category export and use the filters to create a supplier shortlist save and export this supplier shortlist create your statement of needs use your supplier shortlist to invite suppliers to a further competition evaluate suppliers responses and issue an ‘intent to award’ to the successful supplier(s) notify all unsuccessful suppliers ask the winning supplier(s) to provide any needed evidence award your contract For more information read the customer guidance document.",Audio Visual AV Complex Audio Visual Complex AV Consultancy Commissioning Design Solution Support Collaboration Zones Conference Rooms Meeting Rooms Agnostic Design Application Suites Video Conferencing AV Design Audio Visual Design Workplace AV Design Workplace Audio Visual Design Audio Conferencing Audio Visual Integration AV Integration AV Integration Plan Audio Visual Integration Plan Expert Audio Visual Design Expert AV Design Public Sector Audio Visual Design Public Sector AV Design Specialist Audio Visual Specialist AV Crown Commercial Service AV Design Crown Commercial Service Audio Visual Design CCS AV Design CCS Audio Visual Design Public Sector AV Framework Public Sector Audio Visual Framework RM6225 Professional AV Professional Audio Visual,PCR2015,Dynamic Purchasing System,"[{'description': '', 'title': 'Audio Visual Technical Consultancy & Commissioning'}]"
5,679,a044J000008HcgyQAC,Audit & Assurance Services (A&AS),2021-08-11,2025-08-10,2021-02-01,2021-03-19,2021-08-11,2021-08-11,RM6188,6188,"Access audit and assurance services including internal and external audit, counter fraud and investigation.",,"Central government and wider public sector can access cost effective audit and assurance services from a range of suppliers across 4 specific lots. You can access the following services through this agreement: internal audit and assurance external audit counter fraud and investigation other independent assurance For a more detailed description of the service lines provided under each lot, read the lot description document . This agreement will run for 4 years and there will be no option to extend. RM6310 A&AS2 is currently being procured as the replacement agreement; more information can be found on the A&AS2 webpage.",Standard,Corporate,Professional Services,Expired - Data Still Received,publish,"a new agreement designed to provide audit and assurance services wide range of suppliers from SMEs to large multinationals all suppliers are Cyber Essentials accredited terms and conditions specifically adapted for the audit market competitive market rates maximum rates fixed for the life of the agreement comprehensive customer guidance and templates choice of pricing models including: time and materials, fixed, or risk and reward dedicated and knowledgeable contract management team to support you","Before using this agreement, you will need to read the buyer guide . Further competition is the standard route to market for buying from this agreement.  For further details, read the framework schedule 7: call off award procedure . Further competition You can use your own eSourcing system or you can use our eSourcing tool to run your further competition. If this is your first time using our eSourcing suite, you will need to register an account . To run a further competition you will need to: clearly define your needs using the T2 attachment 3 statement of requirements template identify which lot is most suitable for your needs, read lot descriptions develop your tender documents identify suppliers capable of meeting your needs, to do this you can use the service line matrix establish appropriate timescales for your procurement issue expression of interest (EOI) (optional) issue tender to all agreement suppliers identified using the service line matrix and EOI evaluate supplier responses award a contract to the successful supplier(s) and notify unsuccessful suppliers you may wish to include a 10 day standstill period before award (optional)",Audit Auditing Internal audit Assurance External audit Counter fraud Fraud investigation Fraud prevention Forensics Other independent assurance Governance Controls Standards Risk management Statutory Grants Quality reports Quality assurance Performance review Financial irregularities,PCR2015,PCR15 Framework,[]
6,945,a044L0000050h22QAA,Audit and Assurance Services Two (A&AS2),2025-07-22,2028-07-21,2025-01-28,2025-03-18,2025-08-01,2025-07-22,RM6310,6310,Central government and wider public sector can access cost effective audit and assurance services from a range of suppliers across 4 specific lots. This agreement was awarded under PCR 2015.,"<p><span style=""font-weight: 400;"">This framework agreement, let under Public Contracts Regulations 2015, gives the UK public sector access to a variety of cost effective audit and assurance services.</span></p>
<p>&nbsp;</p>
","You can access the following services through this agreement: Internal audit and assurance External audit Counter fraud and investigation Other independent assurance For a more detailed description of the service lines provided under each lot, read the lot description document. This agreement will run for 3 years (with an option to extend for 12 months).",Standard,Corporate,Professional Services,Live,publish,"a new agreement designed to provide audit and assurance services wide range of suppliers from SMEs to large multinationals all suppliers are Cyber Essentials accredited terms and conditions specifically adapted for the audit market competitive market rates comprehensive customer guidance and templates choice of pricing models including: time and materials, fixed, or risk and reward dedicated and knowledgeable contract management team to support you","Before using this agreement, you will need to read the buyer guide . Further competition is the standard route to market under this agreement. Further Competition You can use your own eSourcing system or you can use Crown Commercial Service’s (CCS’) eSourcing portal to run your further competition. If this is your first time using CCS’ eSourcing suite, you will need to register an account . To run a further competition you will need to: Define your needs using the T2 attachment 3 Statement of requirements template. Read lot descriptions to identify which lot is best for your needs. Develop your tender documents. Use the service line matrix to find suppliers that meet your needs. Set up timescales for your buying. Issue expression of interest (EOI) . This is optional. Give tender to all agreement suppliers using the service line matrix. Assess supplier responses. Award a contract to the successful supplier or suppliers and notify unsuccessful suppliers. You can include a 10 day standstill period before award. This is optional. Direct award Direct award is allowed under specific circumstances. Get legal advice to ensure direct award is the right approach. It is your responsibility to justify this route to market. For more details, read the Framework schedule 7 – Call-off award procedure . Call-off agreement When awarding a contract, you should fill out a Framework schedule 6: Call-off Order Form or Framework Schedule 6a: Short Order Form . As the buyer you need to decide which order form is best for your call-off contract. Use Framework schedule 6: Call-off order form if you need to amend the standard PSC or where your requirement is expected to be £5 million or more. For information on completing the call-off order form and schedules read how to use contractual documents . Framework schedule 6a: Short order form should be used for simple requirements under the value of £5 million, including extensions. CCS has included a number of schedules that may apply to orders placed using the short order form, read the order form guide for more information. Agreement pricing request Pricing is available upon request by emailing CCS on info@crowncommercial.gov.uk.",,PCR2015,PCR15 Framework,"[{'description': '', 'title': 'Internal audit and assurance'}, {'description': '', 'title': 'External audit'}, {'description': '', 'title': 'Counter-fraud and investigation'}, {'description': '', 'title': 'Other independent assurance'}]"
7,685,a044J00000763lrQAA,Automation Marketplace DPS,2020-03-16,2026-11-15,2020-02-12,,2020-03-16,2020-03-15,RM6173,6173,"Intelligent automation services and solutions, including automation technologies, services, consultancy and licences.","<p>Intelligent automation services and solutions, including automation technologies, services, consultancy and licences.</p>
","A Dynamic Purchasing System (DPS) that offers automation services and licences for use by the public sector, including their associated bodies and agencies. Automation services are needed to streamline processes and systems for public sector customers. The agreement offers the following services: strategy and business transformation problem solving with tech solutions resources and training software licences What is out of scope? Products and services out of scope include but are not limited to: any hardware and infrastructure hosting networks or connectivity services",DPS,Technology,Software,Live,publish,"accessible route for suppliers – accessible for all suppliers (including SMEs) and suppliers can apply to join at any time government specific terms and conditions (Ts&Cs) – these have been created based on an agile approach using the public sector contract a dynamic filtering system – giving buyers flexibility based on their requirements. Suppliers receive notifications of competitions that are relevant to their service offering and buyers can easily identify potential eligible suppliers supports innovation – suppliers can add new services (within scope) during the lifetime of the DPS, meaning buyers can keep up with fast-moving market developments open to all public sector buyers – including central government departments and the wider public sector access to Cabinet Office (CO) automation task force – receive advice and support from the task force who specialise in the implementation of automation technologies, services and licences","You must run a mini competition to select a supplier. There is no option for direct award. Before running your mini competition, find out which suppliers could meet your requirements using the Dynamic Purchasing System (DPS) Marketplace. The steps below outline how to search for suppliers, create a shortlist and carry out a mini competition. Register as a buyer on the Dynamic Purchasing System Marketplace. Note: although pages are headed ‘Supplier registration’ this is also where you can register as a buyer. Navigate to the Automation Marketplace DPS under Technology, choose the ‘Access as a buyer’ option and confirm your acceptance of the customer access agreement. On your ‘Manage your DPS Category Exports’ page you now have 2 options: view appointed suppliers click on the link to create a new category export. This is how you filter the suppliers that can meet your requirements. When creating a new category use the filtering tool (select all that apply) to specify your requirements and create your supplier shortlist. Save your filtered list of capable suppliers by clicking the ‘Save Category’ option and give the shortlist a unique name specific to your competition. From your ‘Manage your Category Exports’ page you can then export the list of suppliers and contact details (export is to an Excel spreadsheet) Quit the DPS. Use the list to run a Further Competition. Invite the suppliers identified by the DPS to bid against your detailed specification, evaluation criteria and contract format. The list is valid for only 2 working days , from the date of its creation, because new suppliers may apply to join at any point. If your Call for Competition excludes eligible suppliers it potentially breaches procurement regulations. You will need to get a fresh supplier list (steps 3.2 to 5) if you don’t use your list within 2 working days by clicking the ‘Search Again’ option for your export. You can use the CCS eSourcing tool to run a Call for Competition. The tool is free to use for public sector buyers, or you can use your organisation’s own procurement tool. Your tender process should be proportionate to the value and complexity of your requirement. suppliers will need a reasonable period of time to review and prepare a response. This includes allowing sufficient time for suppliers to ask clarification questions and consider your answers before the deadline for written responses. Evaluate the responses. Request from the winning supplier(s) any required evidence that they can meet your requirements. Set a 2-day deadline for submitting evidence. If you’re satisfied with the evidence, award the contract Where appropriate, notify of the award on Contracts Finder. Contact CCS customer services team is available Monday to Friday, 9am to 5pm. Email the team if you need help completing your procurement or call 0345 410 2222","Automation, RPA, Robotic Process Automation, Process Automation, Automation Roadmapping, Roadmapping, Business Strategy, Change Management, Business Case Development, Benefits Realisation, Business Process Improvement, Process Improvement, Desktop Automation, Cognitive Automation, Natural Language Processing, NLP, Optical Character Recognition, OCR, Software Licence, Licence, Automation Software",PCR2015,Dynamic Purchasing System,"[{'description': 'Understanding the opportunity, setting a strategic direction and target operating models. This filter allows buyers to build an evidence base and the sub-filters are areas to focus on.', 'title': 'Automation Marketplace DPS'}]"
8,697,a044J000008lfiDQAQ,Back Office Software,2021-04-06,2025-04-05,2020-11-11,2020-12-17,2021-04-30,2021-04-07,RM6194,6194,"Software as a Service (SaaS) solutions for back office applications, for deploying either in the cloud, on premise or hybrid. Available for all public sector organisations.",,"Buy new software requirements including SaaS, as well as support and maintenance and contract renewals for existing software. Available to all central government departments, arm’s length bodies, devolved administrations, the wider public sector and third sector organisations. This agreement provides all back office functions including: Enterprise Resource Planning (ERP): the ability to provide an integrated suite of business applications Human Capital Management (HCM): a set of practices related to people resource management finance customer relationship management procurement and sourcing portals workflow technologies content management integration software You can also buy additional services such as: installation, implementation and configuration of software consultancy rates for a range of services including application design, systems architecture, data migration and software development service desk services hosting services data handing and validation disaster recovery and back up services solution review services Read Framework schedule 1: specification for more details. For complex and highly technical projects, we recommend you use RM6193 Software Design and Implementation Services . You can buy implementation, design and change management services from RM6193 through further competition only. This agreement will run until 5 April 2025. Maximum call off length is up to 10 years. There is no minimum call off length.",Standard,Technology,Software,Expired - Data Still Received,publish,"wide range of back office software applications for software deployed in cloud, on premise or hybrid systems you can use Expression of Interest (EOI) to refine the list of suppliers you invite to further competition flexible contract lengths of up to 10 years provides coverage for sector – specific needs across all public sector customers can buy support and maintenance as well as licences direct access to major SaaS vendors as well as specialist SME software suppliers uses the CCS public sector contract with social value considered on award to the framework in line with the PPN 06/20","You can buy from this agreement using direct award and further competition. You can also use an Expression of Interest (EOI). This allows your organisation to go to suppliers with your needs to gauge their interest. You do not need to invite any suppliers to main tender who do not respond or decline their interest. Direct award catalogue listings are available on the Government eMarketplace . Sign up to the government eMarketplace. There are two options of how to run your further competition: run an Expression of Interest (EOI) followed by a further competition to those suppliers who have responded as interested in the opportunity run a further competition to all suppliers Before going out to the suppliers on the agreement we recommend that you take part in pre-market engagement. Find out more about EOIs, suggested weightings, award evaluation and timescales in the ‘Document’ section below. You can also use our eSourcing tool to run your further competition or direct award. If this is your first time using our eSourcing tool, you will need to register an eSourcing account. If you have already registered, sign in to your eSourcing account. Read guidance on using our eSourcing tool.",,PCR2015,PCR15 Framework,[]
9,936,a044L000004K9euQAC,Back Office Software 2,2025-02-18,2027-08-17,2024-07-25,2024-08-27,2025-02-25,2025-02-18,RM6285,6285,"This framework, let under the Public Contract Regulations 2015, gives all public sector organisations access to Software as a Service (SaaS) solutions for back office applications, for deploying either in the cloud, on premise or hybrid.","<p>This framework, let under the Public Contract Regulations 2015, gives all public sector organisations access to Software as a Service (SaaS) solutions for back office applications, for deploying either in the cloud, on premise or hybrid.</p>
","Back Office Software 2 (BOS2) replaces RM6194 Back Office Software . This agreement will support back office functions, including: enterprise resource planning (ERP), also known as business management, and business planning software human capital management (HCM), also known as people resource management customer relationship management (CRM) finance systems procurement and sourcing portals workflow technologies content management You can also buy associated services at the same time as your software including: installation, implementation and configuration of software consultancy for a range of services including application design, systems architecture and data migration service desk cloud, on-premise or hybrid solutions data handling and validation integration",Standard,Technology,Software,Live,publish,"a simple 2 lot structure, this includes a wide range of back office software capabilities in a single, consolidated framework fully supported solutions for cloud, on-premise or hybrid systems buying licences, with related associated services available an evaluated pool of key suppliers allowing customers to drive cost reductions and increase value for money through healthy competition the financial threshold has been reduced to under £5m for lot 2, helping small and medium-sized enterprises (SMEs) tender documents have been re-designed to be SME friendly improved customer protection: core terms are now above supplier terms in order of priority, meaning that if there is a dispute core terms will be the primary consideration public sector contracting terms and conditions create an easier, more flexible route to market, customisable to your specific operational needs no maximum call-off length","You can buy from this agreement using direct award and further competition. You can also use an Expression of Interest (EOI) . This allows you to outline high-level requirements for your potential suppliers and to gauge their interest. You can use this at pre-market engagement, or to shortlist suppliers for further competition. Direct award catalogue listings are available on the Government eMarketplace . Sign up to the government eMarketplace. Agreement pricing request If you are looking for pricing information or to benchmark, plan or validate the information given to you by a supplier email us directly at info@crowncommercial.gov.uk . Please include the following information: quote RM6285 in the subject and title state which lots you want pricing information for and for which supplier The prices given do not include VAT. The prices for each good and service are the maximum price suppliers can ask for. BOS2 offers the following pricing structures: Lot 1 These are the minimum savings at each spending level and work for both direct award and further competition . These discounts only apply to lot 1 services and each supplier offers different discount rates. You will get bigger discounts when you spend more (value price breaks). Lot 2 Framework pricing is evaluated using the skills framework for the information age (SFIA) day rates. These benchmark rates are available upon request and represent maximum prices only. Suppliers can offer more competitive rates for your further competition bids.","Enterprise Resource Planning, Core ERP systems and solutions, HR & Payroll, Software, Back Office solutions, BOS, BOS2, ERP, Workforce, Time Recording, Learning, Payroll Benefits, Absence Management, Talent Recruitment, Training, Financial Accounting, Budgets, Expenses, Revenue Management, Asset Management, Financials, Accounts Payable, Accounts Receivable, General Ledger, Tax, Inventory, Procurement and Supply Chain Management, eSourcing, Procure to Pay, Source to Pay, Catalogues, Contract Management, Supply Chain Management, Service Portal, Customer Relationship Management, CRM, Teleservice, Contact Management, Sales Lead Management, Forecasting, Case Management, Web Chat, Election Management Software, Productivity, Business Information, Dashboard, Analytics, Consolidation, AutomationTechnology, Identity Services, Document Management, Imaging Solutions, Knowledge Sharing, Data Archiving, Integration Software, myCSP, Training, Education, Mobility, Accessibility",PCR2015,PCR15 Framework,"[{'description': 'This lot covers a full range of back office solutions and services, with no set minimum or maximum contract value. Suppliers in lot 1 must:\r\n<ul>\r\n \t<li>meet higher levels of certifications and liabilities, which have been evaluated at framework level</li>\r\n \t<li>continue to be monitored as part of CCS supplier assurance processes</li>\r\n</ul>', 'title': 'Enterprise Software'}, {'description': 'This lot focuses on:\r\n<ul>\r\n \t<li>innovation</li>\r\n \t<li>added value back office solutions and services</li>\r\n \t<li>lower risk contracts</li>\r\n</ul>\r\nIt is designed to be small and medium enterprise (SME) friendly, with suppliers providing lower levels of assurances at framework level. We recommend a maximum threshold of £5m contract value.', 'title': 'Specialist Software Solutions'}]"
